date,iso_code,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,life_expectancy,human_development_index,hospital_beds_per_thousand,continent,total_deaths_per_million,location,total_cases_per_million,total_deaths,total_cases,reproduction_rate,new_deaths_per_million,new_deaths,new_cases_per_million,new_cases,new_deaths_smoothed_per_million,new_deaths_smoothed,new_cases_smoothed,new_cases_smoothed_per_million,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,total_vaccinations,total_vaccinations_per_hundred,new_vaccinations,new_cases_Lag_7,new_cases_Lag_14,Rolling_Mean_new_cases,Weekend
2020-01-22,CHN,26.39,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.012,China,0.379,17.0,547.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
2020-01-23,CHN,44.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.012,China,0.442,18.0,639.0,3.04,0.001,1.0,0.064,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
2020-01-24,CHN,44.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.018,China,0.634,26.0,916.0,3.24,0.006,8.0,0.192,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
2020-01-25,CHN,47.69,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.029,China,0.969,42.0,1399.0,3.41,0.011,16.0,0.334,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True
2020-01-26,CHN,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.039,China,1.428,56.0,2062.0,3.49,0.01,14.0,0.459,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True
2020-01-27,CHN,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.057,China,1.982,82.0,2863.0,3.54,0.018,26.0,0.555,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
2020-01-28,CHN,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.091,China,3.804,131.0,5494.0,3.55,0.034,49.0,1.822,2631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
2020-01-29,CHN,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.092,China,4.203,133.0,6070.0,3.21,0.001,2.0,0.399,576.0,0.011,16.571,789.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2020-01-30,CHN,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.118,China,5.625,171.0,8124.0,3.0,0.026,38.0,1.422,2054.0,0.015,21.857,1069.286,0.74,0.0,0.0,0.0,0.0,0.0,92.0,,,False
2020-01-31,CHN,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.147,China,6.774,213.0,9783.0,2.8,0.029,42.0,1.149,1659.0,0.018,26.714,1266.714,0.877,0.0,0.0,0.0,0.0,0.0,277.0,,,False
2020-02-01,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.179,China,8.22,259.0,11871.0,2.66,0.032,46.0,1.446,2088.0,0.021,31.0,1496.0,1.036,0.0,0.0,0.0,0.0,0.0,483.0,,,True
2020-02-02,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.25,China,11.499,361.0,16607.0,2.57,0.071,102.0,3.279,4736.0,0.03,43.571,2077.857,1.439,0.0,0.0,0.0,0.0,0.0,663.0,,,True
2020-02-03,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.294,China,13.636,425.0,19693.0,2.35,0.044,64.0,2.137,3086.0,0.034,49.0,2404.286,1.665,0.0,0.0,0.0,0.0,0.0,801.0,,,False
2020-02-04,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.339,China,16.396,490.0,23680.0,2.14,0.045,65.0,2.761,3987.0,0.036,51.286,2598.0,1.799,0.0,0.0,0.0,0.0,0.0,2631.0,,1652.357142857143,False
2020-02-05,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.389,China,18.978,562.0,27409.0,1.98,0.05,72.0,2.582,3729.0,0.042,61.286,3048.429,2.111,0.0,0.0,0.0,0.0,0.0,576.0,0.0,1918.7142857142858,False
2020-02-06,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.438,China,21.155,632.0,30553.0,1.78,0.048,70.0,2.177,3144.0,0.046,65.857,3204.143,2.219,0.0,0.0,0.0,0.0,0.0,2054.0,92.0,2136.714285714286,False
2020-02-07,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.496,China,23.594,717.0,34075.0,1.64,0.059,85.0,2.439,3522.0,0.05,72.0,3470.286,2.403,0.0,0.0,0.0,0.0,0.0,1659.0,277.0,2368.5,False
2020-02-08,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.557,China,25.466,804.0,36778.0,1.53,0.06,87.0,1.872,2703.0,0.054,77.857,3558.143,2.464,0.0,0.0,0.0,0.0,0.0,2088.0,483.0,2527.0714285714284,True
2020-02-09,CHN,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.626,China,27.551,904.0,39790.0,1.46,0.069,100.0,2.086,3012.0,0.054,77.571,3311.857,2.293,0.0,0.0,0.0,0.0,0.0,4736.0,663.0,2694.8571428571427,True
2020-02-10,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.7,China,29.293,1011.0,42306.0,1.43,0.074,107.0,1.742,2516.0,0.058,83.714,3230.429,2.237,0.0,0.0,0.0,0.0,0.0,3086.0,801.0,2817.3571428571427,False
2020-02-11,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.769,China,30.693,1111.0,44327.0,1.43,0.069,100.0,1.399,2021.0,0.061,88.714,2949.571,2.042,0.0,0.0,0.0,0.0,0.0,3987.0,2631.0,2773.785714285714,False
2020-02-12,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.773,China,30.95,1116.0,44699.0,1.54,0.003,5.0,0.258,372.0,0.055,79.143,2470.0,1.71,0.0,0.0,0.0,0.0,0.0,3729.0,576.0,2759.214285714286,False
2020-02-13,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,0.947,China,41.429,1368.0,59832.0,1.7,0.174,252.0,10.478,15133.0,0.073,105.143,4182.714,2.896,0.0,0.0,0.0,0.0,0.0,3144.0,2054.0,3693.4285714285716,False
2020-02-14,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.052,China,45.902,1520.0,66292.0,1.45,0.105,152.0,4.473,6460.0,0.079,114.714,4602.429,3.187,0.0,0.0,0.0,0.0,0.0,3522.0,1659.0,4036.3571428571427,False
2020-02-15,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.151,China,47.325,1662.0,68347.0,1.18,0.098,142.0,1.423,2055.0,0.085,122.571,4509.857,3.123,0.0,0.0,0.0,0.0,0.0,2703.0,2088.0,4034.0,True
2020-02-16,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.222,China,48.778,1765.0,70446.0,0.96,0.071,103.0,1.453,2099.0,0.085,123.0,4379.429,3.032,0.0,0.0,0.0,0.0,0.0,3012.0,4736.0,3845.6428571428573,True
2020-02-17,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.29,China,50.106,1863.0,72364.0,0.81,0.068,98.0,1.328,1918.0,0.084,121.714,4294.0,2.973,0.0,0.0,0.0,0.0,0.0,2516.0,3086.0,3762.214285714286,False
2020-02-18,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.386,China,51.335,2002.0,74139.0,0.67,0.096,139.0,1.229,1775.0,0.088,127.286,4258.857,2.949,0.0,0.0,0.0,0.0,0.0,2021.0,3987.0,3604.214285714286,False
2020-02-19,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.464,China,51.617,2114.0,74546.0,0.58,0.078,112.0,0.282,407.0,0.099,142.571,4263.857,2.952,0.0,0.0,0.0,0.0,0.0,372.0,3729.0,3366.9285714285716,False
2020-02-20,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.548,China,51.931,2236.0,74999.0,0.47,0.084,122.0,0.314,453.0,0.086,124.0,2166.714,1.5,0.0,0.0,0.0,0.0,0.0,15133.0,3144.0,3174.714285714286,False
2020-02-21,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.548,China,52.258,2236.0,75472.0,0.42,0.0,0.0,0.328,473.0,0.071,102.286,1311.429,0.908,0.0,0.0,0.0,0.0,0.0,6460.0,3522.0,2956.9285714285716,False
2020-02-22,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.69,China,53.262,2441.0,76922.0,0.39,0.142,205.0,1.004,1450.0,0.077,111.286,1225.0,0.848,0.0,0.0,0.0,0.0,0.0,2055.0,2703.0,2867.4285714285716,True
2020-02-23,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.692,China,53.273,2443.0,76938.0,0.34,0.001,2.0,0.011,16.0,0.067,96.857,927.429,0.642,0.0,0.0,0.0,0.0,0.0,2099.0,3012.0,2653.4285714285716,True
2020-02-24,CHN,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.795,China,53.421,2593.0,77152.0,0.33,0.104,150.0,0.148,214.0,0.072,104.286,684.0,0.474,0.0,0.0,0.0,0.0,0.0,1918.0,2516.0,2489.0,False
2020-02-25,CHN,81.02,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.844,China,53.773,2663.0,77660.0,0.32,0.048,70.0,0.352,508.0,0.065,94.429,503.0,0.348,0.0,0.0,0.0,0.0,0.0,1775.0,2021.0,2380.9285714285716,False
2020-02-26,CHN,81.02,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.88,China,54.054,2715.0,78065.0,0.34,0.036,52.0,0.28,405.0,0.059,85.857,502.714,0.348,0.0,0.0,0.0,0.0,0.0,407.0,372.0,2383.285714285714,False
2020-02-27,CHN,81.02,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,76.91,0.761,4.34,Asia,1.9,China,54.353,2744.0,78498.0,0.32,0.02,29.0,0.3,433.0,0.05,72.571,499.857,0.346,0.0,0.0,0.0,0.0,0.0,453.0,15133.0,1333.2857142857142,False
